Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,cape_link
"Strum, Shirley C.",ANBI 132 - Conservation&Human Predicament (A),SP14,22,11,81.8 %,90.9 %,4.14,B (3.20),B- (2.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805614
"Woodruff, David S",ANBI 132 - Conservation&Human Predicament (A),SP14,22,11,72.7 %,90.9 %,4.86,B+ (3.40),B- (2.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805614A
"Sutton, Mark Quincey",ANBI 145 - Bioarchaeology (A),SP14,15,11,81.8 %,81.8 %,7.05,B (3.09),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805626
"Pav, Brent R.",ANBI 173 - Cognition in Animals & Humans (A),SP14,54,25,96.0 %,92.0 %,2.98,A- (3.80),A- (3.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805627
"Jenkins, Janis A.",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),SP14,38,17,100.0 %,100.0 %,3.21,B+ (3.69),B+ (3.62),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805628
"Pedersen, David",ANSC 107 - Meaning/Symbols in Social Life (A),SP14,16,5,60.0 %,80.0 %,3.30,B (3.20),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805630
"Haviland, John B.",ANSC 116 - Languages of Americas: Mayan (A),SP14,11,5,75.0 %,75.0 %,5.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805631
"Csordas, Thomas J.",ANSC 129 - Meaning and Healing (A),SP14,34,17,88.2 %,70.6 %,6.03,B+ (3.59),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805632
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (A),SP14,40,16,100.0 %,100.0 %,4.50,B+ (3.54),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805633
"Lewis, Leslie R",ANSC 147 - Global Health/ Environment (A),SP14,33,24,100.0 %,100.0 %,3.98,A- (3.84),A- (3.82),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805635
"Jenkins, Janis A.",ANSC 150 - Culture and Mental Health (A),SP14,27,16,93.3 %,93.3 %,4.90,A- (3.79),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805636
"Kramer, Elise A.","ANSC 162 - Language, Identity & Community (A)",SP14,60,28,88.9 %,96.3 %,3.39,A- (3.75),B+ (3.47),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805638
"Fortier, Jana",ANSC 165 - Contemporary South Asia (A),SP14,15,5,100.0 %,100.0 %,5.30,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=810516
"Parish, Steven Martin",ANSC 168 - The Human Condition (A),SP14,59,21,100.0 %,100.0 %,4.18,A- (3.94),A- (3.79),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805639
"Kramer, Elise A.",ANTH 103 - Social Anthropology (A),SP14,88,44,83.7 %,76.7 %,3.71,B+ (3.55),B+ (3.38),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805608
"Luna, Sarah L",ANTH 23 - Debating Multiculturalism (A),SP14,238,78,78.4 %,81.1 %,3.04,B+ (3.31),B- (2.89),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805599
"Levy, Thomas E",ANTH 3 - World Prehistory (A),SP14,80,36,74.2 %,83.9 %,2.76,B+ (3.44),B (3.07),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805593
"Pav, Brent R.",ANTH 42 - Study of Primates in Nature (A),SP14,27,9,88.9 %,77.8 %,4.06,B+ (3.50),B (3.17),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805604
"Jordan, David K.",ANTH 87 - Freshman Seminar (B),SP14,11,7,100.0 %,100.0 %,1.70,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=810549
"Levy, Thomas E",ANAR 111 - Anthropological Archaeology (A),WI14,32,11,90.9 %,100.0 %,4.86,B+ (3.44),B (3.29),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797117
"Goldstein, Paul S",ANAR 158 - The Inca: Empire of the Andes (A),WI14,28,9,100.0 %,100.0 %,4.28,B+ (3.63),B+ (3.37),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797120
"Algaze, Guillermo",ANAR 182 - Origin/Agriculture & Sedentism (A),WI14,19,11,90.0 %,90.0 %,5.30,A- (3.89),B+ (3.67),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797122
"Semendeferi, Ekaterini",ANBI 109 - Brain Mind Workshop (A),WI14,18,13,92.3 %,92.3 %,1.58,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797124
"Pedersen, David",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),WI14,6,4,75.0 %,75.0 %,5.00,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797125
"Kramer, Elise A.","ANSC 109 - Jokes, Monsters, and Strangers (A)",WI14,30,17,70.6 %,70.6 %,4.26,B (3.29),B (3.06),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797127
"Kramer, Elise A.",ANSC 122 - Language in Society (A),WI14,42,17,86.7 %,86.7 %,3.97,B+ (3.54),B (3.18),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797130
"Brenner, Suzanne A",ANSC 124 - Cultural Anthropology (A),WI14,39,18,94.1 %,100.0 %,5.21,A- (3.82),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797132
"Postero, Nancy Grey",ANSC 142 - Anthropology of Latin America (A),WI14,33,14,92.9 %,100.0 %,5.07,A- (3.86),B+ (3.55),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797136
"Jenkins, Janis A.",ANSC 148 - Global Health/Cultrl Diversity (A),WI14,66,28,65.4 %,65.4 %,4.88,B+ (3.63),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=801314
"Brenner, Suzanne A",ANSC 154 - Gender and Religion (A),WI14,17,10,100.0 %,90.0 %,6.10,A- (3.80),A- (3.86),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797137
"Fortier, Jana",ANSC 169 - Culture & Envr/Resrch Sem/Prac (B),WI14,9,3,100.0 %,100.0 %,5.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803204
"Luna, Sarah L",ANSC 174 - Sex / Money: the Anth/Sex Work (A),WI14,24,15,93.3 %,93.3 %,3.57,A- (3.80),B+ (3.65),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=801196
"Pav, Brent R.",ANTH 102 - Humans Are Cultural Animals (A),WI14,86,39,92.1 %,84.2 %,3.91,B+ (3.46),B (3.26),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797102
"Algaze, Guillermo",ANTH 147 - Understanding/Human Social Ord (A),WI14,8,3,100.0 %,100.0 %,15.83,A (4.00),A- (3.94),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797115
"Friedman, Jonathan A",ANTH 147 - Understanding/Human Social Ord (A),WI14,10,3,100.0 %,100.0 %,15.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797115A
"Pav, Brent R.",ANTH 2 - Human Origins (A),WI14,139,74,88.2 %,92.6 %,3.91,B (3.07),B (3.29),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797095
"Luna, Sarah L",ANTH 21 - Race and Racisms (A),WI14,108,42,83.3 %,78.6 %,3.55,A- (3.77),B+ (3.57),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797106
"Lewis, Leslie R",ANTH 23 - Debating Multiculturalism (A),WI14,231,112,91.5 %,95.3 %,4.50,B+ (3.63),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797109
"Pav, Brent R.",ANBI 111 - Adv Priciples/Human Evolution (A),FA13,30,9,100.0 %,87.5 %,6.50,B+ (3.67),B+ (3.36),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=789280
"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA13,62,31,93.5 %,96.8 %,4.44,B+ (3.57),B- (2.92),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783662
"Stasch, Rupert S",ANSC 108 - Tourism and Global Culture (A),FA13,47,24,95.8 %,95.8 %,3.92,A- (3.79),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783663
"Kramer, Elise A.",ANSC 118 - Language and Culture (A),FA13,20,5,60.0 %,60.0 %,4.90,B+ (3.50),C+ (2.47),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=789284
"van den Hout, Charlotte Emma",ANSC 121 - Psychological Anthropology (B),FA13,18,6,83.3 %,83.3 %,6.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=795789
"Friedman, Jonathan A",ANSC 123 - Political Anthropology (A),FA13,22,10,70.0 %,80.0 %,4.90,B+ (3.33),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783665
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",FA13,75,47,100.0 %,97.8 %,5.39,A- (3.82),A- (3.70),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783666
"van den Hout, Charlotte Emma",ANSC 126 - Childhood and Adolescence (A),FA13,69,33,96.8 %,96.8 %,4.63,B+ (3.65),A- (3.81),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=789282
"Csordas, Thomas J.",ANSC 145 - Indigenous People/Nrth America (A),FA13,58,28,70.4 %,63.0 %,4.94,B+ (3.39),B- (2.85),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783671
"Csordas, Thomas J.",ANSC 146 - Global Health Persp/HIV (A),FA13,15,5,100.0 %,75.0 %,2.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=789294
"Lewis, Leslie R",ANTH 1 - Introduction to Culture (A),FA13,192,105,92.9 %,93.9 %,4.19,B+ (3.62),B+ (3.55),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783640
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA13,93,43,85.7 %,88.1 %,4.50,B+ (3.63),B+ (3.69),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783654
"Pav, Brent R.",ANTH 21 - Race and Racisms (A),FA13,64,36,83.3 %,86.1 %,3.93,B+ (3.63),B+ (3.36),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=795793
"Kramer, Elise A.",ANTH 23 - Debating Multiculturalism (A),FA13,394,172,82.9 %,85.4 %,3.23,B+ (3.48),B (3.21),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=783647
"Postero, Nancy Grey",ANTH 87 - Freshman Seminar (A),FA13,6,5,100.0 %,100.0 %,4.90,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788829
"Plunger, Elizabeth M",ANAR 111 - Anthropological Archaeology (A),S213,8,3,100.0 %,100.0 %,2.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780111
"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),S213,23,21,90.5 %,95.2 %,4.50,B+ (3.61),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780114
"Dawley, William C","ANSC 125 - Gender, Sexuality, & Society (A)",S213,6,4,100.0 %,100.0 %,8.50,B (3.25),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780117
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S213,22,5,100.0 %,75.0 %,4.00,A (4.00),A- (3.92),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780119
"Montesinos, Jorge Roberto",ANTH 1 - Introduction to Culture (A),S213,17,3,100.0 %,100.0 %,3.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780121
"Goldstein, Paul S",ANAR 158GS - The Inca (A),S113,10,4,100.0 %,100.0 %,4.00,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788407
"Goldstein, Paul S","ANAR 159GS - ""1492"" : Coexist, Crusade (A)",S113,10,3,100.0 %,100.0 %,3.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788423
"McComsey, Melanie E",ANSC 122 - Language in Society (A),S113,15,8,87.5 %,87.5 %,4.00,B+ (3.40),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779346
"Saravia, Paula F",ANSC 148 - Global Health/Cultrl Diversity (A),S113,21,4,100.0 %,100.0 %,5.00,B (3.25),B+ (3.64),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=781645
"Volta, Beniamino P",ANTH 101 - Foundations/Social Complexity (A),S113,10,5,100.0 %,100.0 %,3.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779350
"Beasley, Melanie Marie",ANTH 2 - Human Origins (A),S113,24,8,71.4 %,100.0 %,4.21,A (4.00),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779347
"Keyes, David G",ANTH 23 - Debating Multiculturalism (A),S113,52,19,84.2 %,94.7 %,6.61,A- (3.77),B+ (3.37),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779349
"Zborover, Dan A",ANAR 105 - Arch/Literate Soc/Mesoamerica (A),SP13,15,6,100.0 %,100.0 %,3.70,B+ (3.40),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779108
"Maeir, Aren M",ANAR 125 - Weapons/Warfare/Anct N. East (A),SP13,49,21,90.0 %,95.0 %,3.40,A- (3.83),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772569
"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A),SP13,19,8,87.5 %,100.0 %,3.25,B+ (3.43),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=778628
"Wakefield, Monica",ANBI 111 - Adv Priciples/Human Evolution (A),SP13,57,28,96.3 %,100.0 %,4.06,B+ (3.37),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772572
"Strum, Shirley C.",ANBI 132 - Conservation&Human Predicament (A),SP13,26,12,91.7 %,91.7 %,4.00,B+ (3.40),B- (2.77),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772574A
"Woodruff, David S",ANBI 132 - Conservation&Human Predicament (A),SP13,26,12,91.7 %,91.7 %,4.17,B+ (3.45),B- (2.77),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772574
"Wakefield, Monica",ANBI 148 - Primate Behavioral Ecology (A),SP13,15,8,100.0 %,100.0 %,4.75,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772578
"Bialecki, Jon Anthony",ANSC 104 - Anthropology of Fantasy (A),SP13,40,17,76.5 %,82.4 %,6.85,B+ (3.57),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772582
"Woolard, Kathryn A","ANSC 113 - Lang, Style & Youth Identities (A)",SP13,30,16,68.8 %,87.5 %,3.97,B (3.07),B+ (3.31),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772584
"Haviland, John B.","ANSC 119 - Gesture, Communication & Body (A)",SP13,7,5,100.0 %,100.0 %,4.50,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772585
"Bialecki, Jon Anthony",ANSC 121 - Psychological Anthropology (A),SP13,30,19,73.7 %,84.2 %,4.82,B+ (3.65),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=778530
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",SP13,83,31,80.0 %,83.3 %,4.16,B+ (3.38),B+ (3.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772586
"Ozyurek, Esra",ANSC 134 - Global Islam (A),SP13,30,12,75.0 %,58.3 %,3.83,A- (3.83),A- (3.95),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772590
"Jordan, David K.",ANSC 137 - Chinese Popular Religion (A),SP13,25,12,100.0 %,100.0 %,3.83,B+ (3.30),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772592
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (A),SP13,32,16,100.0 %,93.8 %,5.43,B (3.25),B+ (3.35),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772595
"Jenkins, Janis A.",ANSC 148 - Global Health/Cultrl Diversity (A),SP13,67,29,100.0 %,89.7 %,3.88,B+ (3.56),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772598
"SYVERTSEN, JENNIFER",ANSC 164 - Intro to Medical Anthropology (A),SP13,55,47,100.0 %,89.4 %,4.33,B+ (3.67),A- (3.70),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=778629
"Hankins, Joseph D.",ANTH 103 - Social Anthropology (A),SP13,81,42,90.2 %,95.1 %,5.05,B+ (3.67),B+ (3.56),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772610
"Sutton, Mark Quincey",ANTH 3 - World Prehistory (A),SP13,80,27,88.9 %,92.6 %,2.87,A- (3.87),A- (3.71),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772602
"Jordan, David K.",ANTH 87 - Freshman Seminar (A),SP13,24,12,66.7 %,83.3 %,2.67,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=776919
"Braswell, Geoffrey E.",ANAR 100 - Spec Topics/Anth Archaeology (B),WI13,14,6,100.0 %,100.0 %,5.83,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=769763
"Semendeferi, Ekaterini",ANBI 109 - Brain Mind Workshop (A),WI13,13,8,100.0 %,87.5 %,2.00,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762884
"Bienvenu, Thibaut L",ANBI 140 - Evolution of Human Brain (A),WI13,53,17,88.2 %,64.7 %,3.79,B (3.29),B+ (3.33),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762885
"Schoeninger, Margaret J",ANBI 146 - Stable Isotopes in Ecology (A),WI13,11,5,80.0 %,80.0 %,5.70,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762889
"Bialecki, Jon Anthony",ANSC 120 - Anthropology of Religion (A),WI13,50,19,66.7 %,88.9 %,5.06,B+ (3.53),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762893
"Woolard, Kathryn A",ANSC 122 - Language in Society (A),WI13,49,20,85.0 %,95.0 %,3.90,B (3.25),B- (2.95),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762895
"Brenner, Suzanne A",ANSC 124 - Cultural Anthropology (A),WI13,66,28,78.6 %,92.9 %,4.79,B+ (3.54),B+ (3.49),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762897
"Jordan, David K.",ANSC 136 - Traditional Chinese Society (A),WI13,39,15,86.7 %,93.3 %,4.23,B+ (3.33),B+ (3.32),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762901
"Wakefield, Monica",ANTH 102 - Humans Are Cultural Animals (A),WI13,107,46,82.2 %,91.1 %,5.26,B+ (3.39),B (3.04),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762909
"Algaze, Guillermo",ANTH 147 - Understanding/Human Social Ord (A),WI13,12,4,100.0 %,100.0 %,9.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762912
"Friedman, Jonathan K.",ANTH 147 - Understanding/Human Social Ord (A),WI13,12,4,100.0 %,100.0 %,8.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762912A
"Wakefield, Monica",ANTH 2 - Human Origins (A),WI13,182,69,87.9 %,95.5 %,4.07,B (3.30),B (3.18),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=762903
"Jordan, David K.",ANTH 87 - Freshman Seminar (A),WI13,15,12,100.0 %,100.0 %,1.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=760243
"Braswell, Geoffrey E.",ANAR 153 - The Mysterious Maya (B),FA12,26,20,100.0 %,100.0 %,4.70,B (3.24),B (3.03),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=767325
"Semendeferi, Ekaterini",ANBI 109 - Brain Mind Workshop (A),FA12,11,5,100.0 %,100.0 %,2.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751033
"Wakefield, Monica",ANBI 173 - Cognition in Animals & Humans (A),FA12,54,25,100.0 %,100.0 %,3.50,A- (3.82),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758144
"Csordas, Thomas J.",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),FA12,11,6,66.7 %,50.0 %,6.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751038
"Friedman, Jonathan K.",ANSC 100 - Spec Top/Socio-Cultural Anthro (B),FA12,10,3,100.0 %,100.0 %,6.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751040
"Goldsmith, Trevor A",ANSC 118 - Language and Culture (A),FA12,35,19,50.0 %,44.4 %,7.00,B+ (3.36),B (3.15),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758152
"Caperna, Joseph C.",ANSC 146 - Global Health Persp/HIV (A),FA12,15,6,83.3 %,83.3 %,3.83,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=759352A
"Csordas, Thomas J.",ANSC 146 - Global Health Persp/HIV (A),FA12,15,7,100.0 %,100.0 %,3.50,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=759352
"Jenkins, Janis A.",ANSC 150 - Culture and Mental Health (A),FA12,50,23,95.2 %,85.7 %,5.17,A- (3.75),B+ (3.64),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751042
"Parish, Steven Martin",ANSC 170 - Modernity and Human Experience (A),FA12,49,22,76.5 %,76.5 %,3.56,B+ (3.44),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751044
"Bialecki, Jon Anthony",ANSC 189 - Anthropology of End of World (A),FA12,32,18,81.3 %,100.0 %,5.63,B+ (3.40),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=759902
"Goldsmith, Trevor A",ANTH 1 - Introduction to Culture (A),FA12,137,75,66.2 %,52.3 %,4.41,B+ (3.49),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751046
"Algaze, Guillermo",ANTH 101 - Foundations/Social Complexity (A),FA12,101,38,80.6 %,91.4 %,4.56,A- (3.71),B+ (3.31),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751058
"Ozyurek, Esra",ANTH 23 - Debating Multiculturalism (A),FA12,272,127,63.9 %,50.0 %,2.86,B+ (3.45),B+ (3.31),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=751053
"Schoeninger, Margaret J",ANTH 5 - Intro Human Skeleton (A),FA12,52,25,90.9 %,95.5 %,4.60,B+ (3.42),B- (2.92),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=758468
"Snyder-Frey, Alicia C.             ",ANSC 122   - Language in Society            (A),S212,25,7,100.0 %,85.7 %,5.93,B+ (3.33),B (3.27),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747875
"Csordas, Thomas J.                 ",ANSC 129   - Meaning and Healing            (A),S212,15,5,75.0 %,75.0 %,11.70,B+ (3.50),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747878
"Elinoff, Eli Asher                 ","ANSC 160   - Nature, Culture, & Environment (A)",S212,8,3,100.0 %,100.0 %,8.50,B+ (3.67),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747880
"Parish, Steven Martin              ",ANSC 166   - Film and Culture in Asia       (A),S212,33,11,100.0 %,100.0 %,6.86,A- (3.90),A- (3.98),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747883
"Plunger, Elizabeth M               ",ANTH 101   - Foundations/Social Complexity  (A),S212,19,6,100.0 %,100.0 %,6.17,A (4.00),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747892
"Peterson, Mary E.                  ",ANTH 2   - Human Origins                  (A),S212,22,7,71.4 %,100.0 %,8.21,B+ (3.50),B (3.20),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747885
"Karis, Timothy Daniel              ",ANTH 23   - Debating Multiculturalism      (A),S212,53,16,68.8 %,87.5 %,7.25,B (3.22),B (3.06),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747888
"Goldstein, Paul S                  ",ANAR 119S  - Archaeological Field & Lab Cls (A),S112,14,5,100.0 %,100.0 %,9.70,A (4.00),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746888
"Goldstein, Paul S                  ",ANAR 157S  - Early Empires of the Andes     (A),S112,11,5,100.0 %,100.0 %,10.50,A (4.00),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746889
"Beasley, Melanie Marie             ",ANBI 143   - The Human Skeleton             (A),S112,25,15,100.0 %,93.3 %,5.43,B+ (3.50),B+ (3.34),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746890
"Gideonse, Theodore Karwoski        ","ANSC 125   - Gender, Sexuality, & Society   (A)",S112,18,14,100.0 %,100.0 %,7.64,A- (3.71),B (3.27),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746892
"Pimentel Walker, Ana Paula         ",ANSC 142   - Anthropology of Latin America  (A),S112,9,3,100.0 %,100.0 %,7.83,A (4.00),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746894
"Parish, Steven Martin              ",ANSC 167   - Rituals and Celebrations       (A),S112,17,4,100.0 %,100.0 %,6.50,B+ (3.50),B+ (3.55),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746895
"Eliot, Krista Shawn                ",ANTH 1   - Introduction to Culture        (A),S112,23,15,100.0 %,86.7 %,5.57,A- (3.79),B+ (3.62),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746896
"Algaze, Guillermo                  ",ANTH 3   - World Prehistory               (A),S112,15,6,100.0 %,100.0 %,5.17,B+ (3.33),N/A,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=746897
"Levy, Thomas E                     ",ANAR 100   - Spec Topics/Anth Archaeology   (A),SP12,20,7,85.7 %,85.7 %,6.79,A (4.00),A (4.00),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=747551
"Levy, Thomas E                     ","ANAR 143   - Archeology, Anthr & the Bible  (A)",SP12,49,24,66.7 %,70.8 %,3.89,B+ (3.60),B+ (3.69),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=744868
